"trip"	"site"	"gut.id"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"216"	"GC20120913"	"I"	296	0	0	0	0	0	0	0
"217"	"GC20120913"	"I"	307	0	0	0	0	0	0	0
"218"	"GC20120913"	"I"	309	0	37	0	0	0	0	0
"219"	"GC20120913"	"I"	310	0	0	0	0	7	0	0
"220"	"GC20120913"	"I"	335	0	0	0	0	589	0	0
"221"	"GC20120913"	"I"	337	83	0	0	0	0	0	0
"222"	"GC20120913"	"I"	340	0	0	0	0	39	20	0
"223"	"GC20120913"	"I"	343	0	0	0	0	222	55	0
"224"	"GC20120913"	"III"	262	0	0	0	0	0	0	0
"225"	"GC20120913"	"III"	263	0	0	0	0	0	0	0
"226"	"GC20120913"	"III"	264	0	0	0	0	0	0	0
"227"	"GC20120913"	"III"	265	0	0	0	70	0	0	0
"228"	"GC20120913"	"III"	266	0	0	0	0	0	0	0
"229"	"GC20120913"	"III"	271	0	0	0	0	0	0	0
"230"	"GC20120913"	"III"	273	0	0	21	0	0	0	0
"231"	"GC20120913"	"III"	281	0	0	0	0	0	0	0
"232"	"GC20120913"	"III"	302	0	0	0	0	0	0	0
"233"	"GC20120913"	"III"	312	0	0	0	0	0	0	0
"234"	"GC20120913"	"III"	313	0	0	0	16	0	0	0
"235"	"GC20120913"	"III"	314	0	0	0	0	0	0	0
"236"	"GC20120913"	"III"	322	0	0	0	42	0	0	0
"237"	"GC20120913"	"III"	327	0	0	0	0	0	0	0
"238"	"GC20120913"	"III"	328	0	0	0	0	0	0	0
"239"	"GC20120913"	"III"	331	0	0	0	0	0	0	0
"240"	"GC20120913"	"III"	332	0	0	0	108	0	0	0
"241"	"GC20120913"	"III"	351	0	0	0	0	0	0	0
"242"	"GC20120913"	"III"	365	0	0	0	0	0	0	0
"243"	"GC20120913"	"III"	367	0	0	0	0	0	0	0
"244"	"GC20120913"	"IVb"	267	0	0	0	0	0	0	0
"245"	"GC20120913"	"IVb"	278	0	0	0	0	0	0	0
"246"	"GC20120913"	"IVb"	306	0	0	0	0	0	0	0
"247"	"GC20120913"	"IVb"	319	0	0	0	0	0	0	0
"248"	"GC20120913"	"IVb"	323	0	0	0	0	0	0	0
"249"	"GC20120913"	"IVb"	333	0	0	0	0	0	0	0
"250"	"GC20120913"	"IVb"	345	0	0	0	0	0	0	0
"251"	"GC20120913"	"IVb"	352	0	0	0	0	0	0	0
"252"	"GC20120913"	"IVb"	353	0	0	0	0	0	0	0
"253"	"GC20120913"	"IVb"	358	0	0	0	0	0	0	0
"254"	"GC20120913"	"IVb"	359	0	0	0	0	0	0	0
"255"	"GC20120913"	"IVb"	360	0	0	0	0	0	0	0
"256"	"GC20120913"	"IVb"	361	0	0	0	0	0	0	0
"257"	"GC20120913"	"II"	284	0	0	0	0	0	0	0
"258"	"GC20120913"	"II"	311	0	0	0	0	0	0	0
"259"	"GC20120913"	"II"	315	0	0	0	0	0	0	0
"260"	"GC20120913"	"II"	325	0	0	0	0	0	0	0
"261"	"GC20120913"	"II"	326	0	0	0	0	0	0	0
"262"	"GC20120913"	"II"	339	0	0	0	0	0	0	0
"263"	"GC20120913"	"II"	362	0	0	0	0	0	0	0
"264"	"GC20130110"	"III"	373	0	0	0	0	0	0	0
"265"	"GC20130110"	"III"	385	0	0	0	16	0	0	0
"266"	"GC20130110"	"III"	386	0	0	0	36	0	0	0
"267"	"GC20130110"	"III"	393	0	0	0	178	0	0	0
"268"	"GC20130110"	"III"	395	0	0	0	0	0	93	0
"269"	"GC20130110"	"III"	396	0	0	0	0	0	0	0
"270"	"GC20130110"	"III"	415	0	0	0	0	0	0	0
"271"	"GC20130110"	"III"	417	0	0	0	0	0	0	0
