"trip"	"site"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"
"39"	"GC20140109"	"II"	0	2	1	0	0	0	4	6	3	2	2	1	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	13	236	196	86	62	48	20	3	0	0	0	0	7	60	83	33	7	1	1	37	150	183	72	35	13	3	0	0	1	0	4	27	25	25	14	7	4	2	3	0	0	1	1	0	0	0	0	0	0
"40"	"GC20140109"	"III"	1	9	5	5	1	0	2	4	7	1	2	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	19	229	188	81	53	16	7	0	0	0	0	0	0	68	64	22	0	0	0	53	218	218	79	32	10	3	0	0	0	0	8	31	49	37	22	14	7	6	2	0	0	1	0	0	0	0	0	0	0
"41"	"GC20140109"	"IVa"	1	0	3	0	0	0	2	9	6	6	1	0	0	0	0	0	0	0	0	0	0	0	5	6	5	1	1	0	0	24	305	210	58	26	23	11	0	0	0	0	0	3	174	222	124	7	0	0	54	301	305	199	71	25	4	0	0	0	0	35	74	64	46	25	17	5	3	5	3	1	0	1	1	0	0	2	2	19
"42"	"GC20140109"	"IVb"	0	0	0	0	0	0	2	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	60	237	174	48	21	15	5	1	0	0	0	0	6	106	92	13	0	0	0	91	393	316	58	40	23	8	0	0	0	0	18	39	28	15	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0
"43"	"GC20140626"	"I"	13	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7	7	5	1	0	0	1	0	0	0	0	2	62	31	39	5	0	0	4	67	218	202	60	22	3	0	0	0	0	24	156	74	5	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
"44"	"GC20140626"	"II"	4	2	0	0	0	0	4	5	2	3	0	0	0	0	0	0	0	0	0	0	0	1	7	7	0	0	0	0	0	20	90	106	86	53	29	10	0	0	0	0	0	16	111	97	20	5	0	0	15	96	156	99	35	8	1	0	0	0	0	67	99	46	9	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"45"	"GC20140626"	"III"	1	0	0	0	0	0	1	8	5	3	2	0	1	0	0	0	0	0	0	0	0	1	9	15	2	0	0	0	0	24	95	115	84	34	18	7	1	0	0	0	0	9	188	154	41	11	0	1	10	81	170	107	36	5	3	0	0	0	0	86	150	72	14	11	2	0	0	0	0	1	0	0	0	0	0	0	0	0
"46"	"GC20140626"	"IVa"	0	1	0	0	0	0	16	12	5	0	3	0	0	0	0	0	0	0	0	0	0	0	5	8	6	0	0	0	0	29	94	97	47	31	27	10	1	0	0	0	0	4	95	131	41	8	0	0	15	68	151	106	46	14	2	1	0	0	0	84	116	84	29	7	5	6	2	2	0	0	0	0	0	0	0	0	0	0
"47"	"GC20140626"	"IVb"	0	0	2	0	0	0	6	5	7	2	1	0	0	0	0	0	0	0	0	0	0	2	13	9	0	0	0	0	0	17	86	48	45	51	25	11	1	0	0	0	0	3	77	103	40	3	1	0	11	77	132	94	37	9	3	0	0	0	0	74	112	67	11	12	4	0	3	2	0	0	0	1	0	0	0	0	0	0
"48"	"GC20140403"	"I"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	3	2	0	0	0	0	0	0	0	0	2	21	33	24	5	1	0	20	63	56	35	14	4	0	0	0	0	0	15	43	17	5	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
